1. pwd -> Print current directory.
2. pwd -L -> Print symbolic path.
3. pwd -P -> Print physical path.
4. pwd /home/user -> Print directory path.
5. pwd /home/user/Downloads -> Print directory path.
6. pwd /home/user/Documents -> Print directory path.
7. pwd /home/user/Pictures -> Print directory path.
8. pwd /home/user/Public -> Print directory path.
9. pwd /home/user/Templates -> Print directory path.
10. pwd /home/user/Videos -> Print directory path.
11. pwd /etc -> Print directory path.
12. pwd /bin -> Print directory path.
13. pwd /sbin -> Print directory path.
14. pwd /usr -> Print directory path.
15. pwd /var -> Print directory path.
16. pwd /tmp -> Print directory path.
17. pwd /dev -> Print directory path.
18. pwd /sys -> Print directory path.
19. pwd /proc -> Print directory path.
20. pwd /root -> Print directory path.
21. pwd /mnt -> Print directory path.
22. pwd /media -> Print directory path.
23. pwd /opt -> Print directory path.
24. pwd /usr/bin -> Print directory path.
25. pwd /usr/sbin -> Print directory path.
26. pwd /usr/local/bin -> Print directory path.
27. pwd /usr/local/sbin -> Print directory path.
28. pwd /usr/share -> Print directory path.
29. pwd /usr/lib -> Print directory path.
30. pwd /usr/include -> Print directory path.
31. pwd /usr/src -> Print directory path.
32. pwd /usr/local -> Print directory path.
33. pwd /usr/share/doc -> Print directory path.
34. pwd /usr/share/man -> Print directory path.
35. pwd /usr/share/info -> Print directory path.
36. pwd /usr/share/locale -> Print directory path.
37. pwd /usr/share/fonts -> Print directory path.
38. pwd /usr/share/themes -> Print directory path.
39. pwd /usr/share/icons -> Print directory path.
40. pwd /usr/share/backgrounds -> Print directory path.
41. pwd /usr/share/sounds -> Print directory path.
42. pwd /usr/share/applications -> Print directory path.
43. pwd /usr/share/templates -> Print directory path.
44. pwd /usr/share/videos -> Print directory path.
45. pwd /usr/share/zoneinfo -> Print directory path.
46. pwd /usr/share/mime -> Print directory path.
47. pwd /usr/share/gnome-shell -> Print directory path.
48. pwd /usr/share/gnome -> Print directory path.
49. pwd /usr/share/kde4 -> Print directory path.
50. pwd /usr/share/backgrounds/gnome -> Print directory path.
51. pwd /usr/share/backgrounds/kde4 -> Print directory path.
52. pwd /usr/share/icons/gnome -> Print directory path.
53. pwd /usr/share/icons/kde4 -> Print directory path.
54. pwd /usr/share/themes/gnome -> Print directory path.
55. pwd /usr/share/themes/kde4 -> Print directory path.
56. pwd /usr/include/linux -> Print directory path.
57. pwd /usr/include/openssl -> Print directory path.
58. pwd /usr/include/python2.7 -> Print directory path.
59. pwd /usr/include/netinet -> Print directory path.
60. pwd /usr/include/SDL2 -> Print directory path.
61. pwd /usr/share/applications/mimeinfo.cache -> Print directory path.
62. pwd /usr/bin/curl -> Print directory path.
63. pwd /usr/bin/chromium-browser -> Print directory path.
64. pwd /usr/bin/firefox -> Print directory path.
65. pwd /usr/bin/gedit -> Print directory path.
66. pwd /usr/bin/gimp -> Print directory path.
67. pwd /usr/bin/git -> Print directory path.
68. pwd /usr/bin/java -> Print directory path.
69. pwd /usr/bin/gcc -> Print directory path.
70. pwd /usr/bin/clang -> Print directory path.
71. pwd /usr/share/locale/en -> Print directory path.
72. pwd /usr/share/locale/zh_CN -> Print directory path.
73. pwd /usr/share/locale/de -> Print directory path.
74. pwd /usr/share/locale/es -> Print directory path.
75. pwd /usr/share/locale/fr -> Print directory path.
76. pwd /usr/share/locale/ja -> Print directory path.
77. pwd /usr/share/locale/ko -> Print directory path.
78. pwd /usr/share/locale/pt_BR -> Print directory path.
79. pwd /usr/share/locale/ru -> Print directory path.
80. pwd /usr/share/locale/tr -> Print directory path.
81. pwd /var/log -> Print directory path.
82. pwd /var/cache -> Print directory path.
83. pwd /var/lib -> Print directory path.
84. pwd /var/spool -> Print directory path.
85. pwd /var/run -> Print directory path.
86. pwd /var/tmp -> Print directory path.
87. pwd /var/backups -> Print directory path.
88. pwd /var/games -> Print directory path.
89. pwd /var/local -> Print directory path.
90. pwd /var/mail -> Print directory path.
91. pwd /var/opt -> Print directory path.
92. pwd /var/www -> Print directory path.
93. pwd /var/lib/mysql -> Print directory path.
94. pwd /var/log/apache2 -> Print directory path.
95. pwd /var/log/syslog -> Print directory path.
96. pwd /var/cache/apt -> Print directory path.
97. pwd /var/cache/fontconfig -> Print directory path.
98. pwd /var/spool/cron/crontabs -> Print directory path.
99. pwd /var/run/utmp -> Print directory path.
100. pwd /var/run/dbus -> Print directory path.
